Year,S&P 500 (includes dividends),3-month T.Bill,US T. Bond, Baa Corporate Bond,Real Estate,S&P 500 (includes dividends)3,3-month T.Bill4,US T. Bond5, Baa Corporate Bond6,Real Estate2,Stocks - Bills,Stocks - Bonds,Stocks - Baa Corp Bond,Historical risk premium,Inflation Rate,S&P 500 (includes dividends)2,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3
1970,0.0356,0.0639,0.1675,0.0565,0.0822," $        3,510.49", $             235.47, $         318.41, $            636.96, $            347.55,-0.0283,-0.1319,-0.0209,0.059,0.0557,-0.019,0.0078,0.1059,0.0008,0.0251
1971,0.1422,0.0433,0.0979,0.14,0.0424," $        4,009.72", $             245.67, $         349.57, $            726.14, $            362.30,0.0989,0.0443,0.0022,0.0587,0.0327,0.1061,0.0103,0.0631,0.104,0.0095
1972,0.1876,0.0407,0.0282,0.1141,0.0298," $        4,761.76", $             255.68, $         359.42, $            808.99, $            373.08,0.1468,0.1594,0.0735,0.0608,0.0341,0.1484,0.0064,-0.0057,0.0774,-0.0042
1973,-0.1431,0.0703,0.0366,0.0432,0.0342," $        4,080.44", $             273.66, $         372.57, $            843.92, $            385.85,-0.2134,-0.1797,-0.1863,0.055,0.0871,-0.2117,-0.0154,-0.0464,-0.0404,-0.0486
1974,-0.259,0.0783,0.0199,-0.0438,0.1007," $        3,023.54", $             295.08, $         379.98, $            806.95, $            424.72,-0.3373,-0.2789,-0.2152,0.0464,0.1234,-0.3404,-0.0401,-0.0921,-0.1488,-0.0202
1975,0.37,0.0578,0.0361,0.1105,0.0677," $        4,142.10", $             312.12, $         393.68, $            896.12, $            453.48,0.3122,0.3339,0.2595,0.0517,0.0694,0.2811,-0.0109,-0.0312,0.0385,-0.0015
1976,0.2383,0.0497,0.1598,0.1975,0.0818," $        5,129.20", $             327.65, $         456.61," $         1,073.13", $            490.57,0.1886,0.0785,0.0408,0.0522,0.0486,0.1809,0.001,0.106,0.142,0.0316
1977,-0.0698,0.0527,0.0129,0.0995,0.1465," $        4,771.20", $             344.91, $         462.50," $         1,179.96", $            562.46,-0.1225,-0.0827,-0.1693,0.0493,0.067,-0.1282,-0.0134,-0.0507,0.0305,0.0745
1978,0.0651,0.0719,-0.0078,0.0314,0.1572," $        5,081.77", $             369.71, $         458.90," $         1,216.98", $            650.90,-0.0068,0.0729,0.0337,0.0497,0.0902,-0.023,-0.0168,-0.0899,-0.0539,0.0615
1979,0.1852,0.1007,0.0067,-0.0201,0.1374," $        6,022.89", $             406.93, $         461.98," $         1,192.53", $            740.35,0.0845,0.1785,0.2053,0.0521,0.1329,0.0461,-0.0285,-0.1114,-0.1351,0.004
1980,0.3174,0.1143,-0.0299,-0.0332,0.074," $        7,934.26", $             453.46, $         448.17," $         1,152.99", $            795.11,0.203,0.3472,0.3505,0.0573,0.1252,0.1708,-0.0096,-0.1378,-0.1407,-0.0455
1981,-0.047,0.1403,0.082,0.0846,0.051," $        7,561.16", $             517.06, $         484.91," $         1,250.56", $            835.62,-0.1873,-0.129,-0.1316,0.0537,0.0892,-0.1251,0.0468,-0.0066,-0.0042,-0.0351
1982,0.2042,0.1061,0.3281,0.2905,0.0056," $        9,105.08", $             571.94, $         644.04," $         1,613.88", $            840.33,0.098,-0.124,-0.0863,0.051,0.0383,0.1598,0.0653,0.2792,0.2429,-0.0315
1983,0.2234,0.0861,0.032,0.1619,0.0475," $      11,138.90", $             621.19, $         664.65," $         1,875.23", $            880.25,0.1373,0.1914,0.0614,0.0534,0.0379,0.1787,0.0464,-0.0057,0.1195,0.0092
1984,0.0615,0.0952,0.1373,0.1562,0.0468," $      11,823.51", $             680.35, $         755.92," $         2,168.13", $            921.43,-0.0338,-0.0759,-0.0947,0.0512,0.0395,0.0211,0.0536,0.0941,0.1123,0.007
1985,0.3124,0.0748,0.2571,0.2386,0.0747," $      15,516.60", $             731.23, $         950.29," $         2,685.50", $            990.27,0.2376,0.0552,0.0737,0.0513,0.038,0.2643,0.0355,0.2111,0.1933,0.0354
1986,0.1849,0.0598,0.2428,0.2149,0.0961," $      18,386.33", $             774.95," $      1,181.06"," $         3,262.50"," $         1,085.46",0.1252,-0.0579,-0.0299,0.0497,0.011,0.1721,0.0483,0.2293,0.2017,0.0842
1987,0.0581,0.0578,-0.0496,0.0229,0.0788," $      19,455.08", $             819.70," $      1,122.47"," $         3,337.20"," $         1,170.95",0.0004,0.1077,0.0352,0.0507,0.0443,0.0132,0.0128,-0.09,-0.0205,0.033
1988,0.1654,0.0667,0.0822,0.1512,0.0721," $      22,672.40", $             874.35," $      1,214.78"," $         3,841.62"," $         1,255.38",0.0987,0.0831,0.0142,0.0512,0.0442,0.116,0.0215,0.0364,0.1024,0.0267
1989,0.3148,0.0811,0.1769,0.1579,0.0438," $      29,808.58", $             945.28," $      1,429.72"," $         4,448.20"," $         1,310.38",0.2336,0.1378,0.1569,0.0524,0.0465,0.2564,0.0331,0.1247,0.1065,-0.0025
1990,-0.0306,0.0749,0.0624,0.0614,-0.0069," $      28,895.11"," $          1,016.11"," $      1,518.87"," $         4,721.33"," $         1,301.32",-0.1056,-0.093,-0.092,0.05,0.0611,-0.0864,0.0131,0.0012,0.0003,-0.0641
1991,0.3023,0.0538,0.15,0.1785,-0.0016," $      37,631.51"," $          1,070.73"," $      1,746.77"," $         5,564.25"," $         1,299.27",0.2486,0.1523,0.1238,0.0514,0.0306,0.2636,0.0224,0.1159,0.1435,-0.0313
1992,0.0749,0.0343,0.0936,0.1217,0.0082," $      40,451.51"," $          1,107.47"," $      1,910.30"," $         6,241.54"," $         1,309.89",0.0406,-0.0187,-0.0468,0.0503,0.029,0.0446,0.0052,0.0628,0.0901,-0.0202
1993,0.0997,0.03,0.1421,0.1643,0.0216," $      44,483.33"," $          1,140.67"," $      2,181.77"," $         7,267.12"," $         1,338.15",0.0697,-0.0424,-0.0646,0.049,0.0275,0.0703,0.0024,0.1116,0.1332,-0.0057
1994,0.0133,0.0425,-0.0804,-0.0132,0.0251," $      45,073.14"," $          1,189.11"," $      2,006.43"," $         7,171.25"," $         1,371.72",-0.0292,0.0936,0.0265,0.0497,0.0267,-0.0131,0.0153,-0.1043,-0.0389,-0.0016
1995,0.372,0.0549,0.2348,0.2016,0.018," $      61,838.19"," $          1,254.39"," $      2,477.55"," $         8,616.71"," $         1,396.39",0.3171,0.1371,0.1704,0.0508,0.0254,0.338,0.0288,0.2042,0.1718,-0.0072
1996,0.2268,0.0501,0.0143,0.0479,0.0242," $      75,863.69"," $          1,317.18"," $      2,512.94"," $         9,029.67"," $         1,430.13",0.1768,0.2125,0.1789,0.053,0.0332,0.1874,0.0163,-0.0183,0.0142,-0.0088
1997,0.331,0.0506,0.0994,0.1183,0.0402," $    100,977.34"," $          1,383.84"," $      2,762.71"," $       10,098.32"," $         1,487.69",0.2804,0.2316,0.2127,0.0553,0.017,0.3088,0.033,0.081,0.0996,0.0228
1998,0.2834,0.0478,0.1492,0.0795,0.0645," $    129,592.25"," $          1,449.94"," $      3,174.95"," $       10,900.68"," $         1,583.61",0.2356,0.1342,0.2039,0.0563,0.0161,0.263,0.0311,0.131,0.0623,0.0476
1999,0.2089,0.0464,-0.0825,0.0084,0.0768," $    156,658.05"," $          1,517.20"," $      2,912.88"," $       10,992.59"," $         1,705.23",0.1625,0.2914,0.2004,0.0596,0.0268,0.1772,0.019,-0.1065,-0.0179,0.0486
2000,-0.0903,0.0582,0.1666,0.0933,0.0928," $    142,508.98"," $          1,605.45"," $      3,398.03"," $       12,018.16"," $         1,863.51",-0.1485,-0.2569,-0.1836,0.0551,0.0339,-0.1201,0.0235,0.1283,0.0575,0.057
2001,-0.1185,0.0339,0.0557,0.0782,0.0667," $    125,622.01"," $          1,659.84"," $      3,587.37"," $       12,957.88"," $         1,987.87",-0.1524,-0.1742,-0.1967,0.0517,0.0155,-0.132,0.0181,0.0396,0.0617,0.0504
